movie_id,original_title,name,budget,revenue,release_year,return,ganancia
862,Toy Story,john lasseter,30000000.0,373554033.0,1995,12.4518011,343554033.0
8844,Jumanji,joe johnston,65000000.0,262797249.0,1995,4.0430346,197797249.0
15602,Grumpier Old Men,howard deutch,0.0,0.0,1995,0.0,0.0
31357,Waiting to Exhale,forest whitaker,16000000.0,81452156.0,1995,5.09075975,65452156.0
11862,Father of the Bride Part II,charles shyer,0.0,76578911.0,1995,0.0,76578911.0
949,Heat,michael mann,60000000.0,187436818.0,1995,3.123946966666667,127436818.0
11860,Sabrina,sydney pollack,58000000.0,0.0,1995,0.0,-58000000.0
45325,Tom and Huck,peter hewitt,0.0,0.0,1995,0.0,0.0
9091,Sudden Death,peter hyams,35000000.0,64350171.0,1995,1.8385763142857143,29350171.0
710,GoldenEye,martin campbell,58000000.0,352194034.0,1995,6.072310931034483,294194034.0
9087,The American President,rob reiner,62000000.0,107879496.0,1995,1.739991870967742,45879496.0
12110,Dracula: Dead and Loving It,mel brooks,0.0,0.0,1995,0.0,0.0
21032,Balto,simon wells,0.0,11348324.0,1995,0.0,11348324.0
10858,Nixon,oliver stone,44000000.0,13681765.0,1995,0.3109492045454545,-30318235.0
1408,Cutthroat Island,renny harlin,98000000.0,10017322.0,1995,0.1022175714285714,-87982678.0
524,Casino,martin scorsese,52000000.0,116112375.0,1995,2.2329302884615383,64112375.0
4584,Sense and Sensibility,ang lee,16500000.0,135000000.0,1995,8.181818181818182,118500000.0
5,Four Rooms,allison anders,4000000.0,4300000.0,1995,1.075,300000.0
5,Four Rooms,alexandre rockwell,4000000.0,4300000.0,1995,1.075,300000.0
5,Four Rooms,robert rodriguez,4000000.0,4300000.0,1995,1.075,300000.0
5,Four Rooms,quentin tarantino,4000000.0,4300000.0,1995,1.075,300000.0
9273,Ace Ventura: When Nature Calls,steve oedekerk,30000000.0,212385533.0,1995,7.079517766666667,182385533.0
11517,Money Train,joseph ruben,60000000.0,35431113.0,1995,0.59051855,-24568887.0
8012,Get Shorty,barry sonnenfeld,30250000.0,115101622.0,1995,3.805012297520661,84851622.0
1710,Copycat,jon amiel,0.0,0.0,1995,0.0,0.0
9691,Assassins,richard donner,50000000.0,30303072.0,1995,0.60606144,-19696928.0
12665,Powder,victor salva,0.0,0.0,1995,0.0,0.0
451,Leaving Las Vegas,mike figgis,3600000.0,49800000.0,1995,13.833333333333334,46200000.0
16420,Othello,oliver parker,0.0,0.0,1995,0.0,0.0
9263,Now and Then,lesli linka glatter,12000000.0,27400000.0,1995,2.283333333333333,15400000.0
17015,Persuasion,roger michell,0.0,0.0,1995,0.0,0.0
902,La Cité des Enfants Perdus,jean-pierre jeunet,18000000.0,1738611.0,1995,0.0965895,-16261389.0
902,La Cité des Enfants Perdus,marc caro,18000000.0,1738611.0,1995,0.0965895,-16261389.0
37557,摇啊摇，摇到外婆桥,zhang yimou,0.0,0.0,1995,0.0,0.0
9909,Dangerous Minds,john n. smith,0.0,180000000.0,1995,0.0,180000000.0
63,Twelve Monkeys,terry gilliam,29500000.0,168840000.0,1995,5.7233898305084745,139340000.0
78802,"Guillaumet, les ailes du courage",jean-jacques annaud,0.0,0.0,1996,0.0,0.0
9598,Babe,chris noonan,30000000.0,254134910.0,1995,8.471163666666667,224134910.0
47018,Carrington,christopher hampton,0.0,0.0,1995,0.0,0.0
687,Dead Man Walking,tim robbins,11000000.0,39363635.0,1995,3.5785122727272727,28363635.0
